song_id,segment_id,transformation,comparison_type,metric,metric_parameters,value
100,01,original_copy,baseline_original,pitch_class_similarity,{},1.000000
100,01,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.538462
100,01,reharmonization,transformed,harmonic_edit_distance,{},0.761905
100,01,reharmonization,transformed,pitch_class_similarity,{},0.787302
100,01,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.739130
100,01,simplification,transformed,harmonic_edit_distance,{},0.904762
100,01,simplification,transformed,pitch_class_similarity,{},0.940476
100,02,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.478261
100,02,chord_substitution,transformed,harmonic_edit_distance,{},0.777778
100,02,chord_substitution,transformed,pitch_class_similarity,{},0.807407
100,02,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
100,02,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
100,02,original_copy,baseline_original,pitch_class_similarity,{},1.000000
100,02,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.545455
100,02,reharmonization,transformed,harmonic_edit_distance,{},0.777778
100,02,reharmonization,transformed,pitch_class_similarity,{},0.788889
100,02,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.478261
100,02,simplification,transformed,harmonic_edit_distance,{},0.777778
100,02,simplification,transformed,pitch_class_similarity,{},0.879630
104,01,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.437500
104,01,chord_substitution,transformed,harmonic_edit_distance,{},0.750000
104,01,chord_substitution,transformed,pitch_class_similarity,{},0.772619
104,01,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
104,01,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
104,01,original_copy,baseline_original,pitch_class_similarity,{},1.000000
104,01,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.533333
104,01,reharmonization,transformed,harmonic_edit_distance,{},0.750000
104,01,reharmonization,transformed,pitch_class_similarity,{},0.780556
104,01,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.533333
104,01,simplification,transformed,harmonic_edit_distance,{},0.833333
104,01,simplification,transformed,pitch_class_similarity,{},0.892361
104,02,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.437500
104,02,chord_substitution,transformed,harmonic_edit_distance,{},0.750000
104,02,chord_substitution,transformed,pitch_class_similarity,{},0.766667
104,02,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
104,02,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
104,02,original_copy,baseline_original,pitch_class_similarity,{},1.000000
104,02,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.533333
104,02,reharmonization,transformed,harmonic_edit_distance,{},0.750000
104,02,reharmonization,transformed,pitch_class_similarity,{},0.758333
104,02,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.769231
104,02,simplification,transformed,harmonic_edit_distance,{},0.916667
104,02,simplification,transformed,pitch_class_similarity,{},0.944444
105,01,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.407407
105,01,chord_substitution,transformed,harmonic_edit_distance,{},0.750000
105,01,chord_substitution,transformed,pitch_class_similarity,{},0.760000
105,01,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
105,01,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
105,01,original_copy,baseline_original,pitch_class_similarity,{},1.000000
105,01,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.520000
105,01,reharmonization,transformed,harmonic_edit_distance,{},0.750000
105,01,reharmonization,transformed,pitch_class_similarity,{},0.793333
105,01,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.520000
105,01,simplification,transformed,harmonic_edit_distance,{},0.800000
105,01,simplification,transformed,pitch_class_similarity,{},0.941667
105,02,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.473684
105,02,chord_substitution,transformed,harmonic_edit_distance,{},0.733333
105,02,chord_substitution,transformed,pitch_class_similarity,{},0.791111
105,02,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
105,02,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
105,02,original_copy,baseline_original,pitch_class_similarity,{},1.000000
105,02,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.473684
