pair_id,pair_type,transformation,interval_ngram_similarity,lcs_similarity,edit_distance_similarity,chord_ngram_similarity,harmonic_edit_distance,pitch_class_similarity,rhythm_ngram_similarity,ioi_similarity,rhythmic_edit_distance,score_melody,score_harmony,score_rhythm,score_global,simple_average,weighted_average,comparison_representation,experiment_category
pair_004583,negative,None,0.000000,0.000000,0.000000,0.000000,0.055556,0.018519,0.000000,0.000000,0.000000,0.000000,0.024692,0.000000,0.008642,0.008230,0.008642,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/harmony/simplification/random_seed_42__strength_0p25/176_segment_01.json,Transformações Harmônicas
pair_004584,negative,None,0.016393,0.136986,0.095890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083090,0.000000,0.000000,0.033236,0.027697,0.033236,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/ornamentation/density_0p2__random_seed_42/251_segment_01.json,Transformações Melódicas
pair_004585,negative,None,0.000000,0.120482,0.072289,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064257,0.000000,0.000000,0.025703,0.021419,0.025703,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/ornamentation/density_0p2__random_seed_42/251_segment_02.json,Transformações Melódicas
pair_004586,negative,None,0.000000,0.132075,0.113208,0.000000,0.055556,0.009259,0.000000,0.164033,0.000000,0.081761,0.021605,0.054678,0.053936,0.052681,0.053936,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/melody_rhythm/mr__mt_semitones_2__rtc_tempo_factor_0p8/364_segment_01.json,Transformações Combinadas
pair_004587,negative,None,0.000000,0.000000,0.000000,0.000000,0.055556,0.037037,0.000000,0.000000,0.000000,0.000000,0.030864,0.000000,0.010802,0.010288,0.010802,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/harmony/simplification/random_seed_42__strength_0p25/371_segment_02.json,Transformações Harmônicas
pair_004588,negative,None,0.000000,0.113208,0.075472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062893,0.000000,0.000000,0.025157,0.020964,0.025157,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/transpose/random_seed_42__semitones_2/693_segment_02.json,Transformações Melódicas
pair_004589,negative,None,0.000000,0.075472,0.056604,0.000000,0.018519,0.010802,0.000000,0.127957,0.000000,0.044025,0.009774,0.042652,0.031694,0.032150,0.031694,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/harmony_rhythm/hr__hcs_strength_0p25__rtc_tempo_factor_0p8/700_segment_02.json,Transformações Combinadas
pair_004590,negative,None,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.277580,0.000000,0.000000,0.000000,0.092527,0.023132,0.030842,0.023132,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/rhythm/partial_rhythm_modification/random_seed_42__strength_0p25/760_segment_01.json,Transformações Rítmicas
pair_004591,negative,None,0.014925,0.094340,0.075472,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.061579,0.000000,0.000000,0.024632,0.020526,0.024632,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/transpose/random_seed_42__semitones_2/760_segment_02.json,Transformações Melódicas
pair_004592,negative,None,0.000000,0.150943,0.132075,0.000000,0.037037,0.046296,0.000000,0.249472,0.000000,0.094339,0.027778,0.083157,0.068247,0.068425,0.068247,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/harmony_rhythm/hr__hcs_strength_0p25__rtc_tempo_factor_0p8/897_segment_02.json,Transformações Combinadas
